,textID,text,sentiment,selected_text
0,f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral, Last session of the day
1,96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive, exciting
2,eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative, such a shame!
3,01082688c6, happy bday!,positive, happy bday!
4,33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive, I like it!!
5,726e501993, that`s great!! weee!! visitors!,positive, that`s great!!
6,261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative, HATES
7,afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative, blocked
8,e64208b4ef, and within a short time of the last clue all of them,neutral, and within a short time of the last clue all of them
9,37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral, What did you get? My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!
10,24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative, argh total bummer
11,43b390b336, I checked.  We didn`t win,neutral, I checked. We didn`t win
12,69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral, .. and you`re on twitter! Did the tavern bore you that much?
13,5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative," sad,"
14,504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative, loose it is...
15,ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative," hate my new timetable, having such a bad week"
16,9fce30159a, Miss you,negative, Miss you
17,00d5195223,Cramps . . .,negative, Cramps
18,33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive, nice
19,f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral," I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that."
20,9ef44428d0,Stupid storm. No river for us tonight,negative, Stupid
21,be634ebeb0,My dead grandpa pays more attention to me than you do,negative, My dead grandpa pays more attention to me than you do
22,3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative, bad.
23,f0ef04109b,about to go to sleep,neutral, about to go to sleep
24,8be365118e, you are lame  go make me breakfast!!,negative, lame
25,c50bdd4567, thats so cool,positive, thats so cool
26,334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral," hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)"
27,b783916431,"Huh, another ScarePoint coding Sunday",neutral," Huh, another ScarePoint coding Sunday"
28,1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive, look who I found just for you
29,be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative," No AC, the fan doesnt swing our way"
30,95701e8ed9, guess that depends on if you want to be on the jury,neutral, guess that depends on if you want to be on the jury
31,4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral, resorted to eating Mickey Ds ALONE.
32,cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral," There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world"
33,55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral, did he ask for your Twitter ID? Your sun sign?
34,9b1a52cc02, where`d you go!,neutral, where`d you go!
35,cce5c4744a,Watching Body of Lies...good film,positive,good
36,c7f9d559e2,Happy mothers day mumm  xoxo,positive, Happy
37,3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral, So I really need to put the laptop down & start getting ready for shindig...But I`ve missed my TwitterLoves all day
38,6d846d7d50, I`m sorry  at least it`s Friday?,negative, I`m sorry
39,599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative, feels sorry
40,87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative, u tweet too much
41,6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral, I always forget SOMETHING when I travel. I am at Newark airport.
42,746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral, Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing
43,ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral, i`m only updating this so that brett`s phone beeps but really.. looking at wedding stuff. again.for the next five months.
44,d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive," happy,"
45,ddc07db84e,  Hope ur havin fun in da club,positive, Hope ur havin fun
46,67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral, i miss my old phone it worked so good until i dropped it i want a new one for my birthday...
47,17d18ba9ef,thinks SG is wonderful,positive, wonderful
48,ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative, sorry
49,f0acd25d8e,Not happy,negative, Not happy
50,cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral, Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show
51,d6c34fa875, I`ll oscillate from one to the other.,neutral, I`ll oscillate from one to the other.
52,614aed9113,I`m so very tired...and have insomnia.,negative, I`m so very tired...
53,dfa577d3c1, Thanks Ennio,positive, Thanks
54,10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral, you should totally come get me and bring me to kelslaws house with you.
55,a0bfb12773," You seem nice, you`re generous and you know your stuff",positive," You seem nice,"
56,71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral, U so dirrrrrty... Why oh why did I pick the Hawks I figured I needed a longshot and they were a better bet than CAR
57,d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral, almost got a kitty yesterday...but it didn`t work out
58,77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral," reality needs to check in. schools over. time to party not tonight tho, im going to bed. night, night."
59,fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive, nice
60,e591a725ef, i still dont know what we would do though,neutral, i still dont know what we would do though
61,2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral," _xo dang it, so its not certain ? ? ? are you okay?"
62,a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral, Change of plans. I am staying in Brandon. No Papaya Salad for me.
63,7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative, suck.
64,461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral, at starbucks with my love. eff school. i have work later too.
65,c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative, cried
66,32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive, exciting
67,29f805a7d2,Terminator Salvation... by myself.,neutral, Terminator Salvation... by myself.
68,d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative, dumbface
69,a04c8c8695, Why do I have to enter my registration details every time I update?,neutral, Why do I have to enter my registration details every time I update?
70,25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive, i love you
71,5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive, Ur so cute..
