,textID,text,selected_text,sentiment
2,088c60f138,my boss is bullying me...,bullying me,negative
18,af3fed7fc3,is back home now      gonna miss every one,onna,negative
27,bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative
32,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative
39,2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive
48,3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative
49,3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative
60,52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative
64,98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative
66,95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive
84,4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative
86,0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral
92,a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...,neutral
102,ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative
116,401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative
129,94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive
132,b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative
134,6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive
149,11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive
160,e4e9b8713a,My back hurts...really bad,.really bad,negative
166,c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive
168,e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive
189,a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative
196,f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative
197,e651d415c6, nite nite bday girl  have fun at concert,e fun,positive
204,e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative
210,375e74d063," Haha I know, I cant handle the fame!  and thank you!",d thank you!,positive
223,242d92151a,Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative
240,7df7221145,  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive
247,ce69e99e71,I`m not sleeping at all until  accepts my appology,I`m not sleeping at all un,negative
251,77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,g What is this powerblog challenge you keep talking about?  I`m a newbie followe,neutral
260,799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative
285,e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",", he was soooo friendly.",positive
295,59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,.it`s gorgeous out!,positive
296,e3731b6ce8, what`s goin on hun?  I`m worried about you,m worried,negative
297,b09362ee8e, Im not bannished... but I am at work till 6,Im not bannished.,negative
309,a54d3c2825," I know   It was worth a shot, though!",as wort,positive
316,d2af698d65,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery,neutral
343,58eda20efc, LMAO... Smh!  that one threw me off.,LMAO... Smh!  that one threw me off,neutral
349,322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",perfect ma,positive
